,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2013-11-14,27.784000396728516,28.079999923706055,26.82200050354004,27.520000457763672,27.520000457763672,61018500,18.671785354614258,18.902856826782227,18.638214111328125,18.862857818603516,16.775360107421875,282419200
2013-11-15,27.3700008392334,27.59000015258789,26.8700008392334,27.09000015258789,27.09000015258789,49501000,18.806428909301758,18.89607048034668,18.731786727905273,18.749643325805664,16.674673080444336,317920400
2013-11-18,27.054000854492188,27.09000015258789,23.922000885009766,24.31599998474121,24.31599998474121,115691000,18.749643325805664,18.828214645385742,18.507143020629883,18.522499084472656,16.47266960144043,244944000
2013-11-19,23.88599967956543,25.799999237060547,23.8439998626709,25.218000411987305,25.218000411987305,99081000,18.536785125732422,18.692142486572266,18.49892807006836,18.555356979370117,16.501890182495117,208938800
2013-11-20,25.215999603271484,25.489999771118164,23.812000274658203,24.222000122070312,24.222000122070312,69248000,18.543928146362305,18.586429595947266,18.368928909301758,18.39285659790039,16.357376098632812,193916800
2013-11-21,24.577999114990234,24.95800018310547,24.049999237060547,24.420000076293945,24.420000076293945,59519000,18.485713958740234,18.614643096923828,18.34535789489746,18.61214256286621,16.55239486694336,262026800
2013-11-22,24.31599998474121,24.549999237060547,23.586000442504883,24.275999069213867,24.275999069213867,55483500,18.554285049438477,18.648571014404297,18.51892852783203,18.564285278320312,16.509830474853516,223725600
2013-11-25,24.899999618530273,25.167999267578125,24.059999465942383,24.167999267578125,24.167999267578125,51336500,18.60785675048828,18.781070709228516,18.60714340209961,18.704999923706055,16.63496971130371,229311600
2013-11-26,23.875999450683594,24.54400062561035,23.219999313354492,24.100000381469727,24.100000381469727,69427500,18.718570709228516,19.147857666015625,18.71428680419922,19.049999237060547,16.941789627075195,401382800
2013-11-27,24.261999130249023,25.389999389648438,23.90399932861328,25.38800048828125,25.38800048828125,61838000,19.153928756713867,19.5,19.049999237060547,19.498571395874023,17.340721130371094,363448400
2013-11-29,25.95400047302246,26.118000030517578,25.395999908447266,25.45599937438965,25.45599937438965,48581000,19.624286651611328,19.940357208251953,19.56464385986328,19.859643936157227,17.661836624145508,318127600
